model,mse_train,mse_test
Multi Variate,118.58631233454756,62.10907801096792
Closed Form Solution,114.58251679829434,60.513411075338134
Polynomial Regression,191.37187045676671,95.1396623698323
Sparse Regression,170.61919983227614,59.80750263012047
